Name,ASCII Name,Alternate Names,Latitude,Longitude,Feature Class,Feature Code,Country Code,Country Code 2,Admin1 Code,Admin2 Code,Admin3 Code,Admin4 Code,Population,Elevation,DIgital Elevation Model,Timezone,Modification date,Country
Sikka,Sikka,"Sika,Siki,Sikka",22.43218,69.84158,P,PPL,IN,,9,477,,,19404,,13,Asia/Kolkata,13-10-2014,India
Shuj?lpur,Shujalpur,"Shujalpur,Shuj?lpur",23.40673,76.7098,P,PPL,IN,,35,436,,,47058,,452,Asia/Kolkata,4/10/2015,India
Shik?rp?r,Shikarpur,"Shikarpur,Shik?rpur,Shik?rp?r",28.28072,78.01411,P,PPL,IN,,36,142,,,34649,,202,Asia/Kolkata,6/9/2015,India
Sh?hkot,Shahkot,"Jullundur,Shahkot,Sh?hkot",31.08173,75.33708,P,PPL,IN,,23,37,,,13577,,227,Asia/Kolkata,10/6/2020,India
,,,,,,,,,,,,,,,,,,
Saoner,Saoner,Saoner,21.3851,78.92155,P,PPL,IN,,16,505,,,29638,,328,Asia/Kolkata,7/8/2015,India
Samdari,Samdari,Samdari,25.81299,72.57879,P,PPL,IN,,24,115,,,17915,,143,Asia/Kolkata,14-10-2014,India
Sambhal,Sambhal,"Sambal,Sambhal,sambal,sambhala,??????,??????,?????,????,???????,??????",28.58498,78.56959,P,PPLA2,IN,,36,659,,,196109,,203,Asia/Kolkata,27-05-2018,India
Sabalgarh,Sabalgarh,Sabalgarh,26.24918,77.40786,P,PPL,IN,,35,419,,,31032,,208,Asia/Kolkata,14-10-2014,India
R?n?pur,Ranipur,"Ranipur,R?n?pur",25.25034,79.06204,P,PPL,IN,,36,166,,,18820,,222,Asia/Kolkata,7/8/2015,India
R?n?gh?t,Ranaghat,"Ranaghat,R?n?gh?t",23.17623,88.56667,P,PPL,IN,,28,336,,,70984,,17,Asia/Kolkata,14-10-2014,India
R?mtek,Ramtek,"Ramtek,R?mtek,??????",21.39562,79.32725,P,PPL,IN,,16,505,,,23404,,336,Asia/Kolkata,7/8/2015,India
R?mpura,Rampura,"Rampura,R?mpura",24.467,75.43996,P,PPL,IN,,35,432,,,18495,,411,Asia/Kolkata,10/3/2016,India
R?mpur,Rampur,"Rampur,Rampur Bushahr,R?mpur,??????",31.44943,77.63087,P,PPL,IN,,11,26,,,6206,,992,Asia/Kolkata,10/6/2020,India
R?mgundam,Ramgundam,"Ramagundam,Ramgundam,R?mgundam,ramagundam,????????",18.80084,79.45206,P,PPL,IN,,40,534,,,452261,,148,Asia/Kolkata,10/10/2014,India
R?jsamand,Rajsamand,"Rajsamand,R?jsamand",25.07145,73.8798,P,PPL,IN,,24,123,,,63414,,548,Asia/Kolkata,14-10-2014,India
Rajpur,Rajpur,"Rajpur,R?jpur",21.94022,75.13608,P,PPL,IN,,35,441,,,19396,,231,Asia/Kolkata,7/1/2016,India
R?jgurunagar,Rajgurunagar,"Rajgurunagar,R?jgurunagar",18.86667,73.9,P,PPL,IN,,16,521,,,18846,,626,Asia/Kolkata,13-10-2014,India
R?huri,Rahuri,"Rahuri,R?huri",19.39069,74.64979,P,PPL,IN,,16,522,,,36885,,511,Asia/Kolkata,13-10-2014,India
Puliy?r,Puliyur,"Puliyur,Puliy?r",10.63375,78.84139,P,PPL,IN,,25,621,,,11174,,113,Asia/Kolkata,2/8/2017,India
Ponnamar?vati,Ponnamaravati,"Ponnamaravathy,Ponnamaravati,Ponnamar?vati",10.28032,78.53601,P,PPL,IN,,25,621,,,11741,,151,Asia/Kolkata,10/6/2020,India
Perya,Perya,"Periya,Perya",11.83334,75.85408,P,PPL,IN,,13,590,,,12659,,742,Asia/Kolkata,8/11/2015,India
Pawni,Pawni,"Pauni,Pawni",20.79229,79.63644,P,PPL,IN,,16,506,,,23450,,248,Asia/Kolkata,7/8/2015,India
Pathan?mthitta,Pathanamthitta,"Pathanamthitta,Pathan?mthitta,Pattanamtitta",9.26667,76.78333,P,PPL,IN,,13,599,,,38285,,30,Asia/Kolkata,10/6/2020,India
Panaji,Panaji,"Nova Goa,Panadzhi,Panadzi,Panadzis,Panadzsi,Panadžis,Panadží,Panaji,Pangim,Panjim,pa na ji,panaji,panjy,pn chi,pnjy,???????,?????,????,????,??????,????,??????,????,?????,????,????,????,????,??????,???,???,???",15.49574,73.82624,P,PPLA,IN,,33,585,,,65586,,16,Asia/Kolkata,14-10-2014,India
Pallatt?r,Pallattur,"Pallattur,Pallatt?r,Pallatur",10.14609,78.80309,P,PPL,IN,,25,622,,,8186,,105,Asia/Kolkata,10/6/2020,India
Obra,Obra,Obra,24.41863,82.98797,P,PPL,IN,,36,200,,,56110,,205,Asia/Kolkata,7/8/2015,India
Nilakottai,Nilakottai,"Nilakkottai,Nilakkottai-Madura",10.165,77.85024,P,PPL,IN,,25,612,,,21683,,228,Asia/Kolkata,14-10-2014,India
Nellikkuppam,Nellikkuppam,"Nellikkuppam,Nellikuppami",11.77554,79.67016,P,PPL,IN,,25,617,,,44423,,22,Asia/Kolkata,5/9/2017,India
Nautanwa,Nautanwa,"Nautanwa,Nautanwa Bazar",27.42752,83.41789,P,PPL,IN,,36,187,,,32587,,105,Asia/Kolkata,14-10-2014,India
N?nd?ra Buzurg,Nandura Buzurg,"Nandur Buzruk,Nandura,Nandura Buzruk,Nandura Buzurg,N?nd?r Buzruk,N?nd?ra,N?nd?ra Buzruk,N?nd?ra Buzurg",20.83417,76.45924,P,PPL,IN,,16,500,,,39650,,271,Asia/Kolkata,7/8/2015,India
N?mrup,Namrup,"Namrup,N?mrup",27.19395,95.31929,P,PPL,IN,,3,310,,,18432,,123,Asia/Kolkata,13-10-2014,India
N?makkal,Namakkal,Namakkal,11.22126,78.16524,P,PPL,IN,,25,609,,,55997,,223,Asia/Kolkata,14-10-2014,India
Murs?n,Mursan,"Mursan,Murs?n",27.57788,77.94091,P,PPL,IN,,36,144,,,12310,,180,Asia/Kolkata,7/8/2015,India
Mohiuddinnagar,Mohiuddinnagar,"Mohiuddinagar,Mohiuddinnagar",25.57374,85.66944,P,PPL,IN,,34,221,,,14938,,55,Asia/Kolkata,22-11-2016,India
Mihona,Mihona,"Mehona,Mihona",26.28373,78.98048,P,PPL,IN,,35,420,,,15830,,152,Asia/Kolkata,7/8/2015,India
Melur,Melur,"Mailore,Melur,Mel?r",10.03241,78.3393,P,PPL,IN,,25,623,,,33839,,154,Asia/Kolkata,14-10-2014,India
Medchal,Medchal,Medchal,17.62972,78.48139,P,PPLA2,IN,,40,700,,,0,,591,Asia/Kolkata,13-07-2018,India
Masaurhi Buzurg,Masaurhi Buzurg,"Masaurhi,Masaurhi Buzurg,Masaurki",25.35417,85.03195,P,PPL,IN,,34,230,,,53440,,62,Asia/Kolkata,7/1/2016,India
M?nvi,Manvi,"Manvi,M?nvi",15.99126,77.05034,P,PPL,IN,,19,559,,,41647,,375,Asia/Kolkata,8/11/2015,India
Mangan,Mangan,"Mangan,Mangan Bazar,Mangang,Mangen,Mongon",27.50965,88.52206,P,PPL,IN,,29,241,,,1464,,953,Asia/Kolkata,14-10-2014,India
M?ndvi,Mandvi,"Cutch Mandi,Cutch-Mandvi,Mandvi,M?ndvi,??????",22.83282,69.35237,P,PPL,IN,,9,468,,,47853,,11,Asia/Kolkata,10/6/2020,India
Manapparai,Manapparai,"Manaparai,Manapparai,Manapp?rai",10.60772,78.42582,P,PPL,IN,,25,614,,,36926,,167,Asia/Kolkata,14-10-2014,India
Makr?na,Makrana,"Makrana,Makr?na",27.04361,74.72445,P,PPL,IN,,24,112,,,93904,,419,Asia/Kolkata,14-10-2014,India
Mah?r?ganj,Maharaganj,"Maharaganj,Maharajganj,Mah?r?ganj,Mah?r?jganj",27.14456,83.56214,P,PPL,IN,,36,187,,,30548,,96,Asia/Kolkata,6/9/2015,India
Madurai,Madurai,"IXM,Madura,Madurai,Maduraj,Madurajus,Maduráj,Mathurai,m thu ri,ma du lai,madhura,madhurai,mado~urai,madulai,madura'i,madurai,madwray,maturai,mdwray,mdwrayy,???????,???????,???????,???????,???????,???????,??????,?????,??????,?????,?????,??????,?????,??????,??????,?????,?????,?????,????,?????,???????,?????,???,????",9.919,78.11953,P,PPLA2,IN,,25,623,,,909908,,138,Asia/Kolkata,10/7/2019,India
L?war Kh?s,Lawar Khas,"Lawar,Lawar Khas,L?war,L?war Kh?s",29.11091,77.77767,P,PPL,IN,,36,138,,,19556,,240,Asia/Kolkata,14-10-2014,India
Latur,Latur,"LTU,Latur,la du er,latr,latur,latura,latwr,rato~uru,?????,????,?????,?????,?????,?????,??????,??????,???",18.39721,76.56784,P,PPLA3,IN,,16,524,,,348967,,638,Asia/Kolkata,13-10-2014,India
Koothanallur,Koothanallur,"Koothanallur,Kuttanallur,K?tt?nall?r",10.7199,79.5157,P,PPL,IN,,25,619,,,23257,,14,Asia/Kolkata,14-10-2014,India
Kundgol,Kundgol,"Kundgol,ku en de ge er,kundagola,????????,????????,???????,?????",15.25612,75.24735,P,PPL,IN,,19,562,,,17617,,645,Asia/Kolkata,14-10-2014,India
Kudachi,Kudachi,"Kudachi,Kudchi",16.62784,74.85408,P,PPL,IN,,19,555,,,19272,,547,Asia/Kolkata,14-10-2014,India
Koth?pet,Kothapet,"Kagaznagar,Kothapet,Koth?pet",19.35176,79.48323,P,PPL,IN,,40,532,,,4266,,196,Asia/Kolkata,10/10/2014,India
Koppal,Koppal,"Kappal,Kopbal,Koppal,ke pu pa er,koppal,koppala,??????,??????,??????,???????,??????,???????,????",15.34522,76.15478,P,PPL,IN,,19,560,,,60868,,540,Asia/Kolkata,14-10-2014,India
Kuchinda,Kuchinda,"Kochinda,Kuchinda",21.74356,84.34848,P,PPL,IN,,21,372,,,14081,,243,Asia/Kolkata,4/10/2017,India
Khunti,Khunti,Khunti,23.07602,85.27818,P,PPL,IN,,38,365,,,31366,,650,Asia/Kolkata,2/8/2017,India
Kheri,Kheri,Kheri,27.90354,80.79754,P,PPL,IN,,36,153,,,26327,,149,Asia/Kolkata,6/9/2015,India
Kayatt?r,Kayattar,"Kayatar,Kayattar,Kayatt?r",8.94834,77.77424,P,PPL,IN,,25,627,,,10007,,63,Asia/Kolkata,10/6/2020,India
K?rsiy?ng,Karsiyang,"Karsiyang,Kharasana,Kurseong,K?rsiy?ng",26.88251,88.27729,P,PPL,IN,,28,327,,,46427,,1501,Asia/Kolkata,10/6/2020,India
Karauli,Karauli,"Karauli,ka lao li,karauli,???????,?????,??????,?????,???",26.49831,77.02755,P,PPL,IN,,24,107,,,73717,,272,Asia/Kolkata,14-10-2014,India
K?ramadai,Karamadai,"Karamadai,K?ramadai,karamatai,??????",11.24058,76.96009,P,PPL,IN,,25,632,,,31188,,367,Asia/Kolkata,14-10-2014,India
Kallakkurichchi,Kallakkurichchi,Kallakirichi,11.7404,78.959,P,PPL,IN,,25,607,,,40449,,131,Asia/Kolkata,14-10-2014,India
K?lka,Kalka,"Kalka,Kalki,K?lka,kalaka,?????,?????",30.83982,76.94065,P,PPL,IN,,11,,,,32205,,703,Asia/Kolkata,6/9/2015,India
K?limpong,Kalimpong,"Kalimpang,Kalimpong,K?limpang,K?limpong,?????????",27.07059,88.47529,P,PPL,IN,,28,327,,,43000,,1141,Asia/Kolkata,7/8/2015,India
Josh?math,Joshimath,"Joshimath,Joshinath,Josh?math",30.55543,79.56436,P,PPL,IN,,39,57,,,13865,,1821,Asia/Kolkata,10/6/2020,India
Jangaon,Jangaon,"Jangaon,Jangoon",17.72602,79.15236,P,PPLA2,IN,,40,689,,,47558,,383,Asia/Kolkata,27-05-2018,India
Jalakandapuram,Jalakandapuram,"Jalakandapuram,Jalakand?puram,Jalakantapuram",11.69779,77.87298,P,PPL,IN,,25,608,,,14529,,282,Asia/Kolkata,14-10-2014,India
Hospet,Hospet,"Hosapete,Hospet,Hoszpet,Khospet,hosapeta,hosapete,hospeta,hospete,huo si pei te,hwspt,??????,?????,?????,???????,???????,??????,???????,????????,????",15.26954,76.3871,P,PPL,IN,,19,565,,,197846,,487,Asia/Kolkata,14-10-2014,India
Hoskote,Hoskote,Hoskote,13.0707,77.79814,P,PPL,IN,,19,583,,,41236,,884,Asia/Kolkata,14-10-2014,India
Hodal,Hodal,Hodal,27.89196,77.36744,P,PPL,IN,,10,89,,,44300,,199,Asia/Kolkata,7/8/2015,India
Hastin?pur,Hastinapur,"Hastinapur,Hastin?pur",29.16042,78.00762,P,PPL,IN,,36,138,,,24093,,221,Asia/Kolkata,7/8/2015,India
Haridwar,Haridwar,"Hardwar,Hardw?r,Haridvar,Haridvár,Haridwar,Haridw?r,Khardvar,Kharidvar,arittuvar,haraduraara,haradvara,haridowaru,haridu'ara,haridvar,haridvara,haridvaram,he er de wa er,???????,????????,????????,???????,????????,??????????,???????,???????,???????,????????,???????????,?????????,????????,????????,??????,?????",29.94791,78.16025,P,PPL,IN,,39,68,,,186079,,295,Asia/Kolkata,14-10-2014,India
Ham?rpur,Hamirpur,"Hamirpur,Ham?rpur",25.9553,80.14842,P,PPL,IN,,36,168,,,34144,,115,Asia/Kolkata,4/10/2015,India
Haldwani,Haldwani,"Haldwani,Haldwani-cum-Kathgodam,Haldw?ni,Khaldvani,ha er de wa ni-qiu mu-ka te ge da mu,haladuraani-tilakara-kathagodama,haladwani,haldvani,haldvani-va-kathagodama,????????,????????,???????,?????????,?????????-?-????????,????????-??????-????????,?????????,?????-??-?????",29.22254,79.5286,P,PPL,IN,,39,66,,,139497,,447,Asia/Kolkata,14-10-2014,India
Gundlup?t,Gundlupet,"Gundalpet,Gundlupet,Gundlup?t",11.81004,76.69027,P,PPL,IN,,19,578,,,27197,,799,Asia/Kolkata,10/6/2020,India
Gudiyatham,Gudiyatham,,12.94601,78.87377,P,PPL,IN,,25,605,,,93973,,280,Asia/Kolkata,14-10-2014,India
Gudiv?da,Gudivada,"Gudivada,Gudiv?da",16.43547,80.99555,P,PPL,IN,,2,547,,,116161,,13,Asia/Kolkata,6/9/2015,India
Gh?ts?la,Ghatsila,"Ghatshila,Ghatsila,Gh?ts?la",22.58531,86.47682,P,PPL,IN,,38,357,,,40018,,103,Asia/Kolkata,10/6/2020,India
Gharaunda,Gharaunda,Gharaunda,29.53692,76.97142,P,PPL,IN,,10,74,,,34307,,243,Asia/Kolkata,7/1/2015,India
Gang?r?mpur,Gangarampur,"Gangarampur,Gang?r?mpur",25.40138,88.52978,P,PPL,IN,,28,331,,,65316,,32,Asia/Kolkata,14-10-2014,India
Gadw?l,Gadwal,"Gadwal,Gadw?l",16.23504,77.79556,P,PPLA2,IN,,40,695,,,55952,,326,Asia/Kolkata,27-05-2018,India
Fateh?b?d,Fatehabad,"Fatahabad,Fatehabad,Fateh?b?d",29.51525,75.45554,P,PPL,IN,,10,78,,,66013,,216,Asia/Kolkata,10/6/2020,India
Erraguntla,Erraguntla,"Erraguntla,Yerraguntla",14.63853,78.53974,P,PPL,IN,,2,551,,,27874,,169,Asia/Kolkata,10/10/2014,India
Ellenabad,Ellenabad,"Ellenabad,Ellen?b?d,Kharyal",29.45282,74.66122,P,PPL,IN,,10,79,,,37680,,196,Asia/Kolkata,6/5/2015,India
Dumka,Dumka,"Dumka,dmka,du mu ka,dumaka,dumaka jila,dumaka jilla,dumka,dwmka,?????,????,?????,?????,?????,????? ????,????? ??????,??????,?????,?????,???",24.26778,87.24855,P,PPL,IN,,38,362,,,47663,,150,Asia/Kolkata,14-10-2014,India
Dh?riw?l,Dhariwal,"Dhariwal,Dh?riw?l",31.95616,75.32386,P,PPL,IN,,23,35,,,20604,,264,Asia/Kolkata,6/9/2015,India
Dary?pur,Daryapur,"Daryapur,Dary?pur",20.92489,77.32644,P,PPL,IN,,16,503,,,35782,,287,Asia/Kolkata,7/8/2015,India
Dankaur,Dankaur,Dankaur,28.35121,77.55508,P,PPL,IN,,36,141,,,13020,,207,Asia/Kolkata,6/5/2015,India
Ch?ru,Churu,"Churu,Ch?ru",28.30415,74.96718,P,PPL,IN,,24,102,,,103533,,291,Asia/Kolkata,14-10-2014,India
Chincholi,Chincholi,Chincholi,17.46508,77.41874,P,PPL,IN,,19,579,,,20447,,462,Asia/Kolkata,7/8/2015,India
Chharra,Chharra,Chharra,27.9247,78.40102,P,PPL,IN,,36,143,,,24535,,182,Asia/Kolkata,4/12/2018,India
Channapatna,Channapatna,"Channapatan,Channapatna",12.65143,77.20672,P,PPL,IN,,19,584,,,66647,,669,Asia/Kolkata,8/9/2016,India
Ch?nda,Chanda,"Candrapur,Chanda,Chandrapur,Ch?nda,candrapur,candrapura,candrapura jille,candrapuram,chandrapwr,chndrapwr,chndrpwr,qian de la pu er,?andrapur,?????????,?????????,????????,???????,????????,?????????,???????????,?????????,????????,?????????,???????? ??????,?????",19.95076,79.29523,P,PPL,IN,,16,509,,,328351,,186,Asia/Kolkata,10/6/2020,India
Ch?ndb?li,Chandbali,"Chandbali,Ch?ndb?li",20.77519,86.74139,P,PPL,IN,,21,378,,,9918,,8,Asia/Kolkata,4/7/2018,India
Bishnupur,Bishnupur,"Bishnupur,Vishnupur,????????",23.0738,87.31991,P,PPL,IN,,28,339,,,64041,,73,Asia/Kolkata,14-10-2014,India
Bilthra,Bilthra,"Belthara,Bilthar,Bilthra",26.12705,83.89148,P,PPL,IN,,36,193,,,17228,,71,Asia/Kolkata,6/9/2015,India
Bil?spur,Bilaspur,"Bilaspur,Bilaspura,Bil?spur,PAB,?????????",22.08005,82.15543,P,PPL,IN,,37,406,,,282705,,265,Asia/Kolkata,19-03-2017,India
Bhach?u,Bhachau,"Bachau,Bhachau,Bhach?u,Buchow",23.29858,70.34279,P,PPL,IN,,9,468,,,24044,,44,Asia/Kolkata,10/6/2020,India
Baw?na,Bawana,"Bawana,Bawana Delhi,Baw?na",28.7982,77.03431,P,PPL,IN,,7,90,,,24906,,223,Asia/Kolkata,10/6/2020,India
B?rsi,Barsi,"Barshi,Barsi,B?rsi",18.23454,75.69275,P,PPL,IN,,16,526,,,110983,,518,Asia/Kolkata,4/7/2016,India
Barjala,Barjala,Barjala,23.6182,91.35596,P,PPL,IN,,26,289,,,17998,,43,Asia/Kolkata,4/12/2018,India
B?patla,Bapatla,"Bapatla,B?patla",15.90422,80.46743,P,PPL,IN,,2,548,,,70117,,10,Asia/Kolkata,6/9/2015,India
Banih?l,Banihal,"Banihal,Banih?l",33.43647,75.19684,P,PPL,IN,,12,17,,,3278,,1649,Asia/Kolkata,6/9/2015,India
Bagra,Bagra,,23.73333,86.31667,P,PPL,IN,,38,354,,,11364,,173,Asia/Kolkata,14-10-2014,India
Badvel,Badvel,Badvel,14.7451,79.06288,P,PPL,IN,,2,551,,,16238,,139,Asia/Kolkata,4/1/2017,India
?rangaon,Arangaon,"Arangaon,Jamkhed,?rangaon",19.02681,74.71487,P,PPL,IN,,16,522,,,29591,,672,Asia/Kolkata,17-07-2018,India
Anekal,Anekal,"Anekal,a nei ka er,anekal,anekala,?????,??????,??????,??????,????",12.7111,77.69557,P,PPL,IN,,19,572,,,36693,,927,Asia/Kolkata,14-10-2014,India
Anamalais,Anamalais,"Anaimalai,Anaimalais,Anamalai,Anamalais",10.58303,76.93441,P,PPL,IN,,25,632,,,16131,,264,Asia/Kolkata,4/3/2017,India
Amb?garh Chauki,Ambagarh Chauki,"Ambagarh Chauki,Ambagarh-Chowki,Amb?garh Chauki",20.77644,80.74608,P,PPL,IN,,37,408,,,9265,,335,Asia/Kolkata,10/6/2020,India
Akhn?r,Akhnur,,32.86667,74.73333,P,PPL,IN,,12,21,,,12802,,312,Asia/Kolkata,13-10-2014,India
Ahmadpur,Ahmadpur,Ahmadpur,23.83009,87.68661,P,PPL,IN,,28,334,,,8855,,51,Asia/Kolkata,14-10-2014,India
Ahiri,Ahiri,Ahiri,19.41386,80.00359,P,PPL,IN,,16,508,,,14384,,140,Asia/Kolkata,21-02-2019,India
P?nchla,Panchla,"Panchla,P?nchla",22.53665,88.13785,P,PPL,IN,,28,341,,,23526,,7,Asia/Kolkata,14-10-2014,India
Birpara,Birpara,,26.70421,89.14547,P,PPL,IN,,28,328,,,30000,,110,Asia/Kolkata,14-10-2014,India
Chemmumiahpet,Chemmumiahpet,,15.89794,79.32129,P,PPL,IN,,2,549,,,31416,,132,Asia/Kolkata,10/10/2014,India
Quthbullapur,Quthbullapur,"Quthbullapur,Qutubullapur",17.50107,78.45818,P,PPL,IN,,40,537,,,225816,,554,Asia/Kolkata,10/10/2014,India
Akasahebpet,Akasahebpet,,17.50455,82.56597,P,PPL,IN,,2,544,,,1500,,71,Asia/Kolkata,11/2/2016,India
Azhiy?r,Azhiyur,,11.69348,75.56013,P,PPL,IN,,13,591,,,28731,,16,Asia/Kolkata,19-12-2019,India
Yeola,Yeola,"Yeola,Yevale,Yewle",20.0424,74.48944,P,PPL,IN,,16,516,,,46762,,562,Asia/Kolkata,6/9/2015,India
Vizianagaram,Vizianagaram,"Viguyanagram,Vizianagaram,Vizianagarm,Vizianagram,Vizianagram City,Vizijanagaram,bijayanagarama,bijianagalam,bijiyanagarama,fyzynjarm,vijayanagara,vijayanagaram,vijayanagarama,vijayanakaram,vu~ijayanagaramu,wei ji ya ne ge lei mu,wjayangrm,????????????,?????????????,?????????,?????????,????????,?????????,???????????,???????,????????,?????????,????????,?????????,???????,??????",18.11692,83.41148,P,PPLA2,IN,,2,543,,,179358,,66,Asia/Kolkata,10/10/2014,India
Vadakku Viravanallur,Vadakku Viravanallur,"Vadakku Viravanallur,Vadakku Viravanall?r,Viravanallur,Viravanall?r",8.69786,77.51916,P,PPL,IN,,25,628,,,19689,,66,Asia/Kolkata,2/8/2017,India
Vijayawada,Vijayawada,"Bezawada,Bezwada,Bezw?da,VGA,Vidzajavada,Vidzhajavada,Vidzsajavada,Vidzsajavádá,Vidžajavada,Vijajauada,Vijaja?ada,Vijayavada,Vijayav?d?,Vijayawada,Vijayaw?da,Widzajawada,Wid?ajawada,bejavada,bijayabada,bijayarada,bijayawada,bijayawara,fjayawada,fyjayawada,vicayavata,vijaiavada,vijaivara,vijayavada,vijayavara,vu~ijayawada,wei jie ya wa da,wjyawada,wjy? wa??,wyjyawada,??????????,??????????,??????????,??????????,?????????,??????????,???? ????,????????,????????,??????????,?????????,?????????,????????,????????,?????????,????????,????????,????????,?????????,????????,????????,??????,???????,???????,???????,??????????,????????,?????,?????",16.50745,80.6466,P,PPL,IN,,2,547,,,874587,,47,Asia/Kolkata,7/5/2019,India
Valabh?pur,Valabhipur,"Vala,Valabhipur,Valabh?pur,Vallabhipur",21.88868,71.87935,P,PPL,IN,,9,481,,,18663,,22,Asia/Kolkata,10/6/2020,India
Uttark?shi,Uttarkashi,"Barahat,B?r?h?t,Uttarkashi,Uttark?shi",30.72986,78.44342,P,PPL,IN,,39,56,,,17123,,1147,Asia/Kolkata,14-10-2014,India
Uppal Kalan,Uppal Kalan,"Oopal,Pedda Uppal,Upal,Uppal,Uppal Kalan",17.40577,78.55911,P,PPL,IN,,40,537,,,118259,,502,Asia/Kolkata,10/10/2014,India
Umri,Umri,Umri,26.51056,78.93667,P,PPL,IN,,35,420,,,9364,,150,Asia/Kolkata,4/12/2018,India
Todabhim,Todabhim,,26.91667,76.81667,P,PPL,IN,,24,107,,,22529,,252,Asia/Kolkata,14-10-2014,India
T?kri,Tikri,"Tikri,T?kri",29.2291,77.35479,P,PPL,IN,,36,139,,,13646,,239,Asia/Kolkata,10/6/2020,India
Thiruvaiyaru,Thiruvaiyaru,"Thiruvaiyaru,Thiruvaiy?ru,Tiruvadi,Tiruv?di",10.88405,79.10362,P,PPL,IN,,25,620,,,14451,,42,Asia/Kolkata,14-10-2014,India
Th?sra,Thasra,,22.79831,73.21174,P,PPL,IN,,9,483,,,18337,,68,Asia/Kolkata,13-10-2014,India
